symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BTX,2016-05-05 00:00:00+00:00,0.1519,0.155,0.1452,0.153,91964,15.19,15.5,14.52,15.3,919,0.0,1.0
BTX,2016-05-06 00:00:00+00:00,0.1686,0.19,0.151,0.189,375653,16.86,19.0,15.1,18.9,3756,0.0,1.0
BTX,2016-05-09 00:00:00+00:00,0.16,0.17,0.15,0.155,97768,16.0,17.0,15.0,15.5,977,0.0,1.0
BTX,2016-05-10 00:00:00+00:00,0.18,0.189,0.155,0.1686,744001,18.0,18.9,15.5,16.86,7440,0.0,1.0
BTX,2016-05-11 00:00:00+00:00,0.1698,0.19,0.16,0.1879,136083,16.98,19.0,16.0,18.79,1360,0.0,1.0
BTX,2016-05-12 00:00:00+00:00,0.165,0.179,0.1536,0.1736,225540,16.5,17.9,15.36,17.36,2255,0.0,1.0
BTX,2016-05-13 00:00:00+00:00,0.165,0.179,0.1533,0.175,71654,16.5,17.9,15.33,17.5,716,0.0,1.0
BTX,2016-05-16 00:00:00+00:00,0.1772,0.182,0.16,0.1601,171515,17.72,18.2,16.0,16.01,1715,0.0,1.0
BTX,2016-05-17 00:00:00+00:00,0.165,0.1801,0.1525,0.1801,189965,16.5,18.01,15.25,18.01,1899,0.0,1.0
BTX,2016-05-18 00:00:00+00:00,0.19,0.23,0.165,0.165,679244,19.0,23.0,16.5,16.5,6792,0.0,1.0
BTX,2016-05-19 00:00:00+00:00,0.19,0.21,0.171,0.193,136635,19.0,21.0,17.1,19.3,1366,0.0,1.0
BTX,2016-05-20 00:00:00+00:00,0.16,0.198,0.1551,0.18,276916,16.0,19.8,15.51,18.0,2769,0.0,1.0
BTX,2016-05-23 00:00:00+00:00,0.1689,0.179,0.1551,0.16,179170,16.89,17.9,15.51,16.0,1791,0.0,1.0
BTX,2016-05-24 00:00:00+00:00,0.1579,0.1699,0.1512,0.1699,136793,15.79,16.99,15.12,16.99,1367,0.0,1.0
BTX,2016-05-25 00:00:00+00:00,0.1659,0.1688,0.15,0.161,72845,16.59,16.88,15.0,16.1,728,0.0,1.0
BTX,2016-05-26 00:00:00+00:00,0.16,0.1698,0.14,0.161,193667,16.0,16.98,14.0,16.1,1936,0.0,1.0
BTX,2016-05-27 00:00:00+00:00,0.1692,0.1799,0.168,0.17,246999,16.92,17.99,16.8,17.0,2469,0.0,1.0
BTX,2016-05-31 00:00:00+00:00,0.1706,0.174,0.155,0.17,214651,17.06,17.4,15.5,17.0,2146,0.0,1.0
BTX,2016-06-01 00:00:00+00:00,0.1684,0.175,0.1551,0.1706,107719,16.84,17.5,15.51,17.06,1077,0.0,1.0
BTX,2016-06-02 00:00:00+00:00,0.15,0.169,0.15,0.161,421606,15.0,16.9,15.0,16.1,4216,0.0,1.0
BTX,2016-06-03 00:00:00+00:00,0.152,0.16,0.15,0.15,176132,15.2,16.0,15.0,15.0,1761,0.0,1.0
BTX,2016-06-06 00:00:00+00:00,0.1523,0.1599,0.152,0.152,36698,15.23,15.99,15.2,15.2,366,0.0,1.0
BTX,2016-06-07 00:00:00+00:00,0.13,0.15,0.13,0.15,327743,13.0,15.0,13.0,15.0,3277,0.0,1.0
BTX,2016-06-08 00:00:00+00:00,0.12,0.13,0.112,0.13,494711,12.0,13.0,11.2,13.0,4947,0.0,1.0
BTX,2016-06-09 00:00:00+00:00,0.1298,0.1298,0.12,0.12,114676,12.98,12.98,12.0,12.0,1146,0.0,1.0
BTX,2016-06-10 00:00:00+00:00,0.128,0.139,0.125,0.134,148910,12.8,13.9,12.5,13.4,1489,0.0,1.0
BTX,2016-06-13 00:00:00+00:00,0.12,0.132,0.111,0.13,185751,12.0,13.2,11.1,13.0,1857,0.0,1.0
BTX,2016-06-14 00:00:00+00:00,0.1199,0.126,0.1135,0.126,182448,11.99,12.6,11.35,12.6,1824,0.0,1.0
BTX,2016-06-15 00:00:00+00:00,0.12,0.12,0.11,0.12,256015,12.0,12.0,11.0,12.0,2560,0.0,1.0
BTX,2016-06-16 00:00:00+00:00,0.1035,0.12,0.102,0.12,1136985,10.35,12.0,10.2,12.0,11369,0.0,1.0
BTX,2016-06-17 00:00:00+00:00,4.89,5.42,4.0,5.25,152796,9.78,10.84,8.0,10.5,76398,0.0,0.02
BTX,2016-06-20 00:00:00+00:00,9.98,10.69,6.06,6.18,451843,19.96,21.38,12.12,12.36,225921,0.0,1.0
BTX,2016-06-21 00:00:00+00:00,10.23,11.85,9.31,10.27,284742,20.46,23.7,18.62,20.54,142371,0.0,1.0
BTX,2016-06-22 00:00:00+00:00,9.61,10.03,9.11,9.11,144283,19.22,20.06,18.22,18.22,72141,0.0,1.0
BTX,2016-06-23 00:00:00+00:00,8.88,9.39,8.1001,9.12,133019,17.76,18.78,16.2002,18.24,66509,0.0,1.0
BTX,2016-06-24 00:00:00+00:00,8.61,9.06,8.247,8.62,65768,17.22,18.12,16.494,17.24,32884,0.0,1.0
BTX,2016-06-27 00:00:00+00:00,9.41,9.49,8.01,8.75,62757,18.82,18.98,16.02,17.5,31378,0.0,1.0
BTX,2016-06-28 00:00:00+00:00,9.01,9.95,8.82,9.95,31392,18.02,19.9,17.64,19.9,15696,0.0,1.0
BTX,2016-06-29 00:00:00+00:00,8.35,9.37,8.35,9.0,45507,16.7,18.74,16.7,18.0,22753,0.0,1.0
BTX,2016-06-30 00:00:00+00:00,8.6,8.95,8.39,8.39,41661,17.2,17.9,16.78,16.78,20830,0.0,1.0
BTX,2016-07-01 00:00:00+00:00,8.31,8.92,8.31,8.9,86761,16.62,17.84,16.62,17.8,43380,0.0,1.0
BTX,2016-07-05 00:00:00+00:00,7.72,8.85,7.72,8.35,44252,15.44,17.7,15.44,16.7,22126,0.0,1.0
BTX,2016-07-06 00:00:00+00:00,6.85,7.78,6.85,7.38,12811,13.7,15.56,13.7,14.76,6405,0.0,1.0
BTX,2016-07-07 00:00:00+00:00,6.81,7.09,6.8,6.8,8210,13.62,14.18,13.6,13.6,4105,0.0,1.0
BTX,2016-07-08 00:00:00+00:00,6.95,7.34,6.95,7.0637,13676,13.9,14.68,13.9,14.1274,6838,0.0,1.0
BTX,2016-07-11 00:00:00+00:00,6.77,7.2,6.77,6.86,18767,13.54,14.4,13.54,13.72,9383,0.0,1.0
BTX,2016-07-12 00:00:00+00:00,6.55,6.93,6.55,6.71,5191,13.1,13.86,13.1,13.42,2595,0.0,1.0
BTX,2016-07-13 00:00:00+00:00,6.35,6.66,6.35,6.55,2666,12.7,13.32,12.7,13.1,1333,0.0,1.0
BTX,2016-07-14 00:00:00+00:00,6.3,6.5,6.15,6.35,6564,12.6,13.0,12.3,12.7,3282,0.0,1.0
BTX,2016-07-15 00:00:00+00:00,6.2,6.22,6.1,6.21,2257,12.4,12.44,12.2,12.42,1128,0.0,1.0
BTX,2016-07-18 00:00:00+00:00,5.69,6.11,5.69,6.11,6645,11.38,12.22,11.38,12.22,3322,0.0,1.0
BTX,2016-07-19 00:00:00+00:00,5.78,5.9599,5.69,5.69,6065,11.56,11.9198,11.38,11.38,3032,0.0,1.0
BTX,2016-07-20 00:00:00+00:00,5.57,5.88,5.57,5.88,7700,11.14,11.76,11.14,11.76,3850,0.0,1.0
BTX,2016-07-21 00:00:00+00:00,5.9,6.0,5.63,5.63,16431,11.8,12.0,11.26,11.26,8215,0.0,1.0
BTX,2016-07-22 00:00:00+00:00,5.92,5.999,5.9001,5.94,9540,11.84,11.998,11.8002,11.88,4770,0.0,1.0
BTX,2016-07-25 00:00:00+00:00,6.0,6.4199,5.93,5.93,42175,12.0,12.8398,11.86,11.86,21087,0.0,1.0
BTX,2016-07-26 00:00:00+00:00,6.89,6.89,6.04,6.04,37790,13.78,13.78,12.08,12.08,18895,0.0,1.0
BTX,2016-07-27 00:00:00+00:00,6.54,6.96,6.54,6.83,13010,13.08,13.92,13.08,13.66,6505,0.0,1.0
BTX,2016-07-28 00:00:00+00:00,6.525,6.72,6.525,6.61,2945,13.05,13.44,13.05,13.22,1472,0.0,1.0
BTX,2016-07-29 00:00:00+00:00,6.5,6.72,6.4,6.72,5773,13.0,13.44,12.8,13.44,2886,0.0,1.0
BTX,2016-08-01 00:00:00+00:00,6.63,6.8,6.41,6.65,5224,13.26,13.6,12.82,13.3,2612,0.0,1.0
BTX,2016-08-02 00:00:00+00:00,6.5,6.58,6.46,6.58,2699,13.0,13.16,12.92,13.16,1349,0.0,1.0
BTX,2016-08-03 00:00:00+00:00,6.42,6.72,6.42,6.6675,3513,12.84,13.44,12.84,13.335,1756,0.0,1.0
BTX,2016-08-04 00:00:00+00:00,5.38,6.4,5.38,6.4,16875,10.76,12.8,10.76,12.8,8437,0.0,1.0
BTX,2016-08-05 00:00:00+00:00,5.4,5.52,5.3,5.3,1982,10.8,11.04,10.6,10.6,991,0.0,1.0
BTX,2016-08-08 00:00:00+00:00,5.2901,5.49,5.25,5.49,6734,10.5802,10.98,10.5,10.98,3367,0.0,1.0
BTX,2016-08-09 00:00:00+00:00,5.7983,5.9899,5.4655,5.4655,9975,11.5966,11.9798,10.931,10.931,4987,0.0,1.0
BTX,2016-08-10 00:00:00+00:00,5.4408,5.85,5.3811,5.85,13047,10.8816,11.7,10.7622,11.7,6523,0.0,1.0
BTX,2016-08-11 00:00:00+00:00,5.23,5.39,5.22,5.39,8922,10.46,10.78,10.44,10.78,4461,0.0,1.0
BTX,2016-08-12 00:00:00+00:00,5.55,5.6,5.2506,5.31,13266,11.1,11.2,10.5012,10.62,6633,0.0,1.0
BTX,2016-08-15 00:00:00+00:00,5.7,5.7,5.42,5.42,4022,11.4,11.4,10.84,10.84,2011,0.0,1.0
BTX,2016-08-16 00:00:00+00:00,5.62,5.68,5.5097,5.54,4092,11.24,11.36,11.0194,11.08,2046,0.0,1.0
BTX,2016-08-17 00:00:00+00:00,6.1,6.2,5.55,5.71,11754,12.2,12.4,11.1,11.42,5877,0.0,1.0
BTX,2016-08-18 00:00:00+00:00,6.1301,6.4,6.0015,6.05,6868,12.2602,12.8,12.003,12.1,3434,0.0,1.0
BTX,2016-08-19 00:00:00+00:00,6.18,6.3305,6.1601,6.3305,2380,12.36,12.661,12.3202,12.661,1190,0.0,1.0
BTX,2016-08-22 00:00:00+00:00,5.6,6.21,5.6,6.21,16942,11.2,12.42,11.2,12.42,8471,0.0,1.0
BTX,2016-08-23 00:00:00+00:00,5.78,5.8,5.7799,5.8,984,11.56,11.6,11.5598,11.6,492,0.0,1.0
BTX,2016-08-24 00:00:00+00:00,5.71,5.824,5.69,5.7717,2295,11.42,11.648,11.38,11.5434,1147,0.0,1.0
BTX,2016-08-25 00:00:00+00:00,5.51,5.8,5.38,5.7,47717,11.02,11.6,10.76,11.4,23858,0.0,1.0
BTX,2016-08-26 00:00:00+00:00,6.0899,6.42,5.63,5.63,48139,12.1798,12.84,11.26,11.26,24069,0.0,1.0
BTX,2016-08-29 00:00:00+00:00,6.06,6.27,6.052,6.27,4598,12.12,12.54,12.104,12.54,2299,0.0,1.0
BTX,2016-08-30 00:00:00+00:00,6.5,6.6,6.06,6.06,5321,13.0,13.2,12.12,12.12,2660,0.0,1.0
BTX,2016-08-31 00:00:00+00:00,6.44,6.5,6.0301,6.25,17677,12.88,13.0,12.0602,12.5,8838,0.0,1.0
BTX,2016-09-01 00:00:00+00:00,6.86,7.31,6.55,6.55,28038,13.72,14.62,13.1,13.1,14019,0.0,1.0
BTX,2016-09-02 00:00:00+00:00,7.15,7.18,6.94,7.05,4712,14.3,14.36,13.88,14.1,2356,0.0,1.0
BTX,2016-09-06 00:00:00+00:00,7.06,7.28,6.75,7.28,8517,14.12,14.56,13.5,14.56,4258,0.0,1.0
BTX,2016-09-07 00:00:00+00:00,6.65,7.13,6.65,7.0,3541,13.3,14.26,13.3,14.0,1770,0.0,1.0
BTX,2016-09-08 00:00:00+00:00,6.69,6.87,6.45,6.65,6110,13.38,13.74,12.9,13.3,3055,0.0,1.0
BTX,2016-09-09 00:00:00+00:00,7.26,7.41,6.42,6.54,16117,14.52,14.82,12.84,13.08,8058,0.0,1.0
BTX,2016-09-12 00:00:00+00:00,7.21,7.4411,6.75,7.25,10714,14.42,14.8822,13.5,14.5,5357,0.0,1.0
BTX,2016-09-13 00:00:00+00:00,7.14,7.41,7.02,7.12,3577,14.28,14.82,14.04,14.24,1788,0.0,1.0
BTX,2016-09-14 00:00:00+00:00,7.33,7.4549,7.051,7.27,7146,14.66,14.9098,14.102,14.54,3573,0.0,1.0
BTX,2016-09-15 00:00:00+00:00,7.382,7.42,7.19,7.19,4766,14.764,14.84,14.38,14.38,2383,0.0,1.0
BTX,2016-09-16 00:00:00+00:00,7.6,7.6,7.305,7.34,8885,15.2,15.2,14.61,14.68,4442,0.0,1.0
BTX,2016-09-19 00:00:00+00:00,7.79,7.79,7.41,7.47,6692,15.58,15.58,14.82,14.94,3346,0.0,1.0
BTX,2016-09-20 00:00:00+00:00,7.41,7.73,7.27,7.73,3535,14.82,15.46,14.54,15.46,1767,0.0,1.0
