symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TTWO,2016-05-05 00:00:00+00:00,34.02,34.3965,33.85,34.05,746662,34.02,34.3965,33.85,34.05,746662,0.0,1.0
TTWO,2016-05-06 00:00:00+00:00,34.92,35.01,33.8,34.09,1723978,34.92,35.01,33.8,34.09,1723978,0.0,1.0
TTWO,2016-05-09 00:00:00+00:00,34.69,35.38,34.52,34.79,796401,34.69,35.38,34.52,34.79,796401,0.0,1.0
TTWO,2016-05-10 00:00:00+00:00,34.77,35.02,34.34,34.75,1045053,34.77,35.02,34.34,34.75,1045053,0.0,1.0
TTWO,2016-05-11 00:00:00+00:00,35.7,36.49,35.33,35.33,2165034,35.7,36.49,35.33,35.33,2165034,0.0,1.0
TTWO,2016-05-12 00:00:00+00:00,36.29,36.425,35.74,35.88,1301277,36.29,36.425,35.74,35.88,1301277,0.0,1.0
TTWO,2016-05-13 00:00:00+00:00,36.96,37.0,36.27,36.31,1825995,36.96,37.0,36.27,36.31,1825995,0.0,1.0
TTWO,2016-05-16 00:00:00+00:00,36.89,37.3,36.12,36.97,2115588,36.89,37.3,36.12,36.97,2115588,0.0,1.0
TTWO,2016-05-17 00:00:00+00:00,36.0,37.03,35.83,36.95,2436516,36.0,37.03,35.83,36.95,2436516,0.0,1.0
TTWO,2016-05-18 00:00:00+00:00,35.68,36.1,35.17,35.97,3061272,35.68,36.1,35.17,35.97,3061272,0.0,1.0
TTWO,2016-05-19 00:00:00+00:00,37.29,37.36,33.06,33.32,5189811,37.29,37.36,33.06,33.32,5189811,0.0,1.0
TTWO,2016-05-20 00:00:00+00:00,36.37,37.34,35.94,37.34,3572733,36.37,37.34,35.94,37.34,3572733,0.0,1.0
TTWO,2016-05-23 00:00:00+00:00,36.43,37.0,36.0801,36.47,1627294,36.43,37.0,36.0801,36.47,1627294,0.0,1.0
TTWO,2016-05-24 00:00:00+00:00,38.33,38.35,36.37,36.46,2256958,38.33,38.35,36.37,36.46,2256958,0.0,1.0
TTWO,2016-05-25 00:00:00+00:00,38.19,38.31,37.62,38.22,2031781,38.19,38.31,37.62,38.22,2031781,0.0,1.0
TTWO,2016-05-26 00:00:00+00:00,38.65,38.72,37.87,38.34,1304428,38.65,38.72,37.87,38.34,1304428,0.0,1.0
TTWO,2016-05-27 00:00:00+00:00,38.8,39.06,38.58,38.65,1028667,38.8,39.06,38.58,38.65,1028667,0.0,1.0
TTWO,2016-05-31 00:00:00+00:00,38.91,39.3,38.51,38.75,1888411,38.91,39.3,38.51,38.75,1888411,0.0,1.0
TTWO,2016-06-01 00:00:00+00:00,38.5,38.93,38.34,38.61,1411243,38.5,38.93,38.34,38.61,1411243,0.0,1.0
TTWO,2016-06-02 00:00:00+00:00,38.9,38.93,38.0,38.21,1387684,38.9,38.93,38.0,38.21,1387684,0.0,1.0
TTWO,2016-06-03 00:00:00+00:00,38.79,39.05,38.39,38.64,1102945,38.79,39.05,38.39,38.64,1102945,0.0,1.0
TTWO,2016-06-06 00:00:00+00:00,39.09,39.3,38.4425,38.75,1243548,39.09,39.3,38.4425,38.75,1243548,0.0,1.0
TTWO,2016-06-07 00:00:00+00:00,39.87,40.165,39.19,39.2,2496226,39.87,40.165,39.19,39.2,2496226,0.0,1.0
TTWO,2016-06-08 00:00:00+00:00,39.66,39.7,38.67,39.27,2851551,39.66,39.7,38.67,39.27,2851551,0.0,1.0
TTWO,2016-06-09 00:00:00+00:00,39.58,40.0,39.09,39.37,1961557,39.58,40.0,39.09,39.37,1961557,0.0,1.0
TTWO,2016-06-10 00:00:00+00:00,39.04,39.57,38.81,39.0,1443718,39.04,39.57,38.81,39.0,1443718,0.0,1.0
TTWO,2016-06-13 00:00:00+00:00,38.23,39.38,38.22,38.67,1366384,38.23,39.38,38.22,38.67,1366384,0.0,1.0
TTWO,2016-06-14 00:00:00+00:00,38.36,38.54,37.76,38.22,2203518,38.36,38.54,37.76,38.22,2203518,0.0,1.0
TTWO,2016-06-15 00:00:00+00:00,37.51,38.67,37.4,38.4,2213281,37.51,38.67,37.4,38.4,2213281,0.0,1.0
TTWO,2016-06-16 00:00:00+00:00,37.77,38.11,37.1029,37.37,1664373,37.77,38.11,37.1029,37.37,1664373,0.0,1.0
TTWO,2016-06-17 00:00:00+00:00,37.09,37.715,36.82,37.69,1677965,37.09,37.715,36.82,37.69,1677965,0.0,1.0
TTWO,2016-06-20 00:00:00+00:00,37.78,38.035,37.27,37.43,1709031,37.78,38.035,37.27,37.43,1709031,0.0,1.0
TTWO,2016-06-21 00:00:00+00:00,37.31,38.11,37.19,37.85,819782,37.31,38.11,37.19,37.85,819782,0.0,1.0
TTWO,2016-06-22 00:00:00+00:00,37.18,37.5052,37.05,37.16,609252,37.18,37.5052,37.05,37.16,609252,0.0,1.0
TTWO,2016-06-23 00:00:00+00:00,37.97,37.98,37.25,37.4,1019444,37.97,37.98,37.25,37.4,1019444,0.0,1.0
TTWO,2016-06-24 00:00:00+00:00,35.99,37.2997,35.99,36.28,3615072,35.99,37.2997,35.99,36.28,3615072,0.0,1.0
TTWO,2016-06-27 00:00:00+00:00,35.5,35.63,35.0,35.63,2167308,35.5,35.63,35.0,35.63,2167308,0.0,1.0
TTWO,2016-06-28 00:00:00+00:00,36.15,36.24,35.7,35.96,1223884,36.15,36.24,35.7,35.96,1223884,0.0,1.0
TTWO,2016-06-29 00:00:00+00:00,36.62,36.835,36.38,36.53,985504,36.62,36.835,36.38,36.53,985504,0.0,1.0
TTWO,2016-06-30 00:00:00+00:00,37.92,37.93,36.65,36.69,1532277,37.92,37.93,36.65,36.69,1532277,0.0,1.0
TTWO,2016-07-01 00:00:00+00:00,37.92,38.43,37.64,37.64,1100518,37.92,38.43,37.64,37.64,1100518,0.0,1.0
TTWO,2016-07-05 00:00:00+00:00,38.03,38.09,37.73,37.84,626823,38.03,38.09,37.73,37.84,626823,0.0,1.0
TTWO,2016-07-06 00:00:00+00:00,38.6,38.86,37.84,37.99,1116170,38.6,38.86,37.84,37.99,1116170,0.0,1.0
TTWO,2016-07-07 00:00:00+00:00,39.23,39.3,38.67,38.74,1078900,39.23,39.3,38.67,38.74,1078900,0.0,1.0
TTWO,2016-07-08 00:00:00+00:00,39.84,40.13,39.24,39.55,1116653,39.84,40.13,39.24,39.55,1116653,0.0,1.0
TTWO,2016-07-11 00:00:00+00:00,40.69,40.86,39.99,39.99,1260580,40.69,40.86,39.99,39.99,1260580,0.0,1.0
TTWO,2016-07-12 00:00:00+00:00,41.34,41.71,40.8,41.09,1493498,41.34,41.71,40.8,41.09,1493498,0.0,1.0
TTWO,2016-07-13 00:00:00+00:00,39.91,41.49,39.83,41.49,2700347,39.91,41.49,39.83,41.49,2700347,0.0,1.0
TTWO,2016-07-14 00:00:00+00:00,39.96,40.99,38.74,40.2,2106088,39.96,40.99,38.74,40.2,2106088,0.0,1.0
TTWO,2016-07-15 00:00:00+00:00,40.45,40.52,39.81,40.01,1195847,40.45,40.52,39.81,40.01,1195847,0.0,1.0
