symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UBER,2019-05-10 00:00:00+00:00,41.57,45.0,41.06,42.0,186322536,41.57,45.0,41.06,42.0,186322536,0.0,1.0
UBER,2019-05-13 00:00:00+00:00,37.1,39.24,36.08,38.79,79442420,37.1,39.24,36.08,38.79,79442420,0.0,1.0
UBER,2019-05-14 00:00:00+00:00,39.96,39.96,36.85,38.31,46661147,39.96,39.96,36.85,38.31,46661147,0.0,1.0
UBER,2019-05-15 00:00:00+00:00,41.29,41.88,38.95,39.37,36086065,41.29,41.88,38.95,39.37,36086065,0.0,1.0
UBER,2019-05-16 00:00:00+00:00,43.0,44.06,41.25,41.48,38115524,43.0,44.06,41.25,41.48,38115524,0.0,1.0
UBER,2019-05-17 00:00:00+00:00,41.91,43.29,41.27,41.98,20225687,41.91,43.29,41.27,41.98,20225687,0.0,1.0
UBER,2019-05-20 00:00:00+00:00,41.59,41.68,39.46,41.19,29222330,41.59,41.68,39.46,41.19,29222330,0.0,1.0
UBER,2019-05-21 00:00:00+00:00,41.5,42.24,41.25,42.0,10802851,41.5,42.24,41.25,42.0,10802851,0.0,1.0
UBER,2019-05-22 00:00:00+00:00,41.25,41.28,40.5,41.05,9089469,41.25,41.28,40.5,41.05,9089469,0.0,1.0
UBER,2019-05-23 00:00:00+00:00,40.47,41.09,40.02,40.8,11119870,40.47,41.09,40.02,40.8,11119870,0.0,1.0
UBER,2019-05-24 00:00:00+00:00,41.51,41.51,40.5,41.28,8786751,41.51,41.51,40.5,41.28,8786751,0.0,1.0
UBER,2019-05-28 00:00:00+00:00,40.95,41.8,40.6,41.7,13391605,40.95,41.8,40.6,41.7,13391605,0.0,1.0
UBER,2019-05-29 00:00:00+00:00,39.94,40.71,39.1473,40.52,14060447,39.94,40.71,39.1473,40.52,14060447,0.0,1.0
UBER,2019-05-30 00:00:00+00:00,39.8,40.38,39.5,40.07,26451864,39.8,40.38,39.5,40.07,26451864,0.0,1.0
UBER,2019-05-31 00:00:00+00:00,40.41,41.57,39.41,41.15,23209848,40.41,41.57,39.41,41.15,23209848,0.0,1.0
UBER,2019-06-03 00:00:00+00:00,41.25,41.85,40.24,40.7435,16605261,41.25,41.85,40.24,40.7435,16605261,0.0,1.0
UBER,2019-06-04 00:00:00+00:00,42.75,42.88,40.7,42.56,23432141,42.75,42.88,40.7,42.56,23432141,0.0,1.0
UBER,2019-06-05 00:00:00+00:00,45.0,45.66,42.5,42.87,28609604,45.0,45.66,42.5,42.87,28609604,0.0,1.0
UBER,2019-06-06 00:00:00+00:00,44.92,45.75,44.28,45.0,16403691,44.92,45.75,44.28,45.0,16403691,0.0,1.0
UBER,2019-06-07 00:00:00+00:00,44.16,45.67,44.13,44.92,12654670,44.16,45.67,44.13,44.92,12654670,0.0,1.0
UBER,2019-06-10 00:00:00+00:00,42.61,44.59,42.53,44.02,11618701,42.61,44.59,42.53,44.02,11618701,0.0,1.0
UBER,2019-06-11 00:00:00+00:00,42.45,43.65,41.8,43.22,9095044,42.45,43.65,41.8,43.22,9095044,0.0,1.0
UBER,2019-06-12 00:00:00+00:00,42.17,42.65,41.71,42.52,5965250,42.17,42.65,41.71,42.52,5965250,0.0,1.0
UBER,2019-06-13 00:00:00+00:00,44.31,44.35,42.8,43.05,10178935,44.31,44.35,42.8,43.05,10178935,0.0,1.0
UBER,2019-06-14 00:00:00+00:00,43.23,44.8,43.11,44.75,7902223,43.23,44.8,43.11,44.75,7902223,0.0,1.0
UBER,2019-06-17 00:00:00+00:00,43.78,44.079,42.93,43.28,6557589,43.78,44.079,42.93,43.28,6557589,0.0,1.0
UBER,2019-06-18 00:00:00+00:00,43.86,44.89,43.75,44.3,7313602,43.86,44.89,43.75,44.3,7313602,0.0,1.0
UBER,2019-06-19 00:00:00+00:00,44.86,45.5,43.95,44.46,10331520,44.86,45.5,43.95,44.46,10331520,0.0,1.0
UBER,2019-06-20 00:00:00+00:00,43.86,45.29,43.51,45.03,9567367,43.86,45.29,43.51,45.03,9567367,0.0,1.0
UBER,2019-06-21 00:00:00+00:00,44.0,44.14,43.38,43.85,4973987,44.0,44.14,43.38,43.85,4973987,0.0,1.0
UBER,2019-06-24 00:00:00+00:00,43.09,44.07,42.82,44.0,5985052,43.09,44.07,42.82,44.0,5985052,0.0,1.0
UBER,2019-06-25 00:00:00+00:00,43.09,43.79,42.4431,43.28,5755107,43.09,43.79,42.4431,43.28,5755107,0.0,1.0
UBER,2019-06-26 00:00:00+00:00,42.5,43.4,42.36,43.25,8109056,42.5,43.4,42.36,43.25,8109056,0.0,1.0
UBER,2019-06-27 00:00:00+00:00,45.13,45.3,43.2,43.35,20155079,45.13,45.3,43.2,43.35,20155079,0.0,1.0
UBER,2019-06-28 00:00:00+00:00,46.38,47.08,45.08,45.1,28657002,46.38,47.08,45.08,45.1,28657002,0.0,1.0
UBER,2019-07-01 00:00:00+00:00,44.27,47.04,44.06,46.98,17739998,44.27,47.04,44.06,46.98,17739998,0.0,1.0
UBER,2019-07-02 00:00:00+00:00,44.0,44.68,43.75,44.55,11881274,44.0,44.68,43.75,44.55,11881274,0.0,1.0
UBER,2019-07-03 00:00:00+00:00,44.23,44.46,43.79,44.0,3380003,44.23,44.46,43.79,44.0,3380003,0.0,1.0
UBER,2019-07-05 00:00:00+00:00,43.53,44.55,43.01,44.31,8239452,43.53,44.55,43.01,44.31,8239452,0.0,1.0
UBER,2019-07-08 00:00:00+00:00,42.95,43.85,42.75,43.59,9304101,42.95,43.85,42.75,43.59,9304101,0.0,1.0
UBER,2019-07-09 00:00:00+00:00,44.2,44.23,42.98,43.18,5251564,44.2,44.23,42.98,43.18,5251564,0.0,1.0
UBER,2019-07-10 00:00:00+00:00,43.7,44.8,43.56,44.48,9746505,43.7,44.8,43.56,44.48,9746505,0.0,1.0
UBER,2019-07-11 00:00:00+00:00,43.99,44.29,43.31,44.1,8050856,43.99,44.29,43.31,44.1,8050856,0.0,1.0
UBER,2019-07-12 00:00:00+00:00,43.99,44.24,43.39,44.16,8760526,43.99,44.24,43.39,44.16,8760526,0.0,1.0
UBER,2019-07-15 00:00:00+00:00,44.53,44.7,43.97,44.2,5811160,44.53,44.7,43.97,44.2,5811160,0.0,1.0
UBER,2019-07-16 00:00:00+00:00,44.13,44.98,44.02,44.6,5613321,44.13,44.98,44.02,44.6,5613321,0.0,1.0
