symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
UBSFF,2016-05-05 00:00:00+00:00,30.14,30.14,30.14,30.14,0,30.14,30.14,30.14,30.14,0,0.0,1.0
UBSFF,2016-05-06 00:00:00+00:00,30.14,30.14,30.14,30.14,0,30.14,30.14,30.14,30.14,0,0.0,1.0
UBSFF,2016-05-09 00:00:00+00:00,30.14,30.14,30.14,30.14,0,30.14,30.14,30.14,30.14,0,0.0,1.0
UBSFF,2016-05-10 00:00:00+00:00,30.14,30.14,30.14,30.14,5,30.14,30.14,30.14,30.14,5,0.0,1.0
UBSFF,2016-05-11 00:00:00+00:00,30.14,30.14,30.14,30.14,0,30.14,30.14,30.14,30.14,0,0.0,1.0
UBSFF,2016-05-12 00:00:00+00:00,30.14,30.14,30.14,30.14,0,30.14,30.14,30.14,30.14,0,0.0,1.0
UBSFF,2016-05-13 00:00:00+00:00,34.25,34.25,33.5,33.5,1010,34.25,34.25,33.5,33.5,1010,0.0,1.0
UBSFF,2016-05-16 00:00:00+00:00,33.75,33.75,33.75,33.75,671,33.75,33.75,33.75,33.75,671,0.0,1.0
UBSFF,2016-05-17 00:00:00+00:00,33.75,33.75,33.75,33.75,0,33.75,33.75,33.75,33.75,0,0.0,1.0
UBSFF,2016-05-18 00:00:00+00:00,33.75,33.75,33.75,33.75,0,33.75,33.75,33.75,33.75,0,0.0,1.0
UBSFF,2016-05-19 00:00:00+00:00,33.75,33.75,33.75,33.75,45,33.75,33.75,33.75,33.75,45,0.0,1.0
UBSFF,2016-05-20 00:00:00+00:00,33.75,33.75,33.75,33.75,20,33.75,33.75,33.75,33.75,20,0.0,1.0
UBSFF,2016-05-23 00:00:00+00:00,33.75,33.75,33.75,33.75,80,33.75,33.75,33.75,33.75,80,0.0,1.0
UBSFF,2016-05-24 00:00:00+00:00,33.75,33.75,33.75,33.75,22,33.75,33.75,33.75,33.75,22,0.0,1.0
UBSFF,2016-05-25 00:00:00+00:00,35.22,35.22,34.81,34.81,375,35.22,35.22,34.81,34.81,375,0.0,1.0
UBSFF,2016-05-26 00:00:00+00:00,35.22,35.22,35.22,35.22,0,35.22,35.22,35.22,35.22,0,0.0,1.0
UBSFF,2016-05-27 00:00:00+00:00,35.22,35.22,35.22,35.22,0,35.22,35.22,35.22,35.22,0,0.0,1.0
UBSFF,2016-05-31 00:00:00+00:00,35.22,35.22,35.22,35.22,0,35.22,35.22,35.22,35.22,0,0.0,1.0
UBSFF,2016-06-01 00:00:00+00:00,35.22,35.22,35.22,35.22,0,35.22,35.22,35.22,35.22,0,0.0,1.0
UBSFF,2016-06-02 00:00:00+00:00,37.59,37.59,37.59,37.59,475,37.59,37.59,37.59,37.59,475,0.0,1.0
UBSFF,2016-06-03 00:00:00+00:00,37.59,37.59,37.59,37.59,0,37.59,37.59,37.59,37.59,0,0.0,1.0
UBSFF,2016-06-06 00:00:00+00:00,37.35,37.35,37.35,37.35,326,37.35,37.35,37.35,37.35,326,0.0,1.0
UBSFF,2016-06-07 00:00:00+00:00,37.35,37.35,37.35,37.35,0,37.35,37.35,37.35,37.35,0,0.0,1.0
UBSFF,2016-06-08 00:00:00+00:00,37.35,37.35,37.35,37.35,0,37.35,37.35,37.35,37.35,0,0.0,1.0
UBSFF,2016-06-09 00:00:00+00:00,37.35,37.35,37.35,37.35,25,37.35,37.35,37.35,37.35,25,0.0,1.0
UBSFF,2016-06-10 00:00:00+00:00,37.35,37.35,37.35,37.35,15,37.35,37.35,37.35,37.35,15,0.0,1.0
UBSFF,2016-06-13 00:00:00+00:00,37.0,37.0,37.0,37.0,154,37.0,37.0,37.0,37.0,154,0.0,1.0
UBSFF,2016-06-14 00:00:00+00:00,37.0,37.0,37.0,37.0,0,37.0,37.0,37.0,37.0,0,0.0,1.0
UBSFF,2016-06-15 00:00:00+00:00,35.25,35.25,35.25,35.25,221,35.25,35.25,35.25,35.25,221,0.0,1.0
UBSFF,2016-06-16 00:00:00+00:00,35.25,35.25,35.25,35.25,0,35.25,35.25,35.25,35.25,0,0.0,1.0
UBSFF,2016-06-20 00:00:00+00:00,35.25,35.25,35.25,35.25,50,35.25,35.25,35.25,35.25,50,0.0,1.0
UBSFF,2016-06-21 00:00:00+00:00,35.25,35.25,35.25,35.25,2,35.25,35.25,35.25,35.25,2,0.0,1.0
UBSFF,2016-06-22 00:00:00+00:00,35.25,35.25,35.25,35.25,0,35.25,35.25,35.25,35.25,0,0.0,1.0
UBSFF,2016-06-23 00:00:00+00:00,35.25,35.25,35.25,35.25,0,35.25,35.25,35.25,35.25,0,0.0,1.0
UBSFF,2016-06-24 00:00:00+00:00,35.0,35.0,35.0,35.0,268,35.0,35.0,35.0,35.0,268,0.0,1.0
UBSFF,2016-06-27 00:00:00+00:00,33.84,33.9,33.84,33.9,730,33.84,33.9,33.84,33.9,730,0.0,1.0
UBSFF,2016-06-28 00:00:00+00:00,33.84,33.84,33.84,33.84,80,33.84,33.84,33.84,33.84,80,0.0,1.0
UBSFF,2016-06-29 00:00:00+00:00,33.84,33.84,33.84,33.84,0,33.84,33.84,33.84,33.84,0,0.0,1.0
UBSFF,2016-06-30 00:00:00+00:00,33.84,33.84,33.84,33.84,27,33.84,33.84,33.84,33.84,27,0.0,1.0
UBSFF,2016-07-01 00:00:00+00:00,33.84,33.84,33.84,33.84,0,33.84,33.84,33.84,33.84,0,0.0,1.0
UBSFF,2016-07-05 00:00:00+00:00,33.84,33.84,33.84,33.84,89,33.84,33.84,33.84,33.84,89,0.0,1.0
UBSFF,2016-07-06 00:00:00+00:00,37.15,37.15,37.15,37.15,120,37.15,37.15,37.15,37.15,120,0.0,1.0
UBSFF,2016-07-07 00:00:00+00:00,37.49,37.49,37.49,37.49,147,37.49,37.49,37.49,37.49,147,0.0,1.0
UBSFF,2016-07-08 00:00:00+00:00,37.49,37.49,37.49,37.49,0,37.49,37.49,37.49,37.49,0,0.0,1.0
UBSFF,2016-07-11 00:00:00+00:00,37.49,37.49,37.49,37.49,0,37.49,37.49,37.49,37.49,0,0.0,1.0
UBSFF,2016-07-12 00:00:00+00:00,37.49,37.49,37.49,37.49,0,37.49,37.49,37.49,37.49,0,0.0,1.0
UBSFF,2016-07-13 00:00:00+00:00,37.49,37.49,37.49,37.49,33,37.49,37.49,37.49,37.49,33,0.0,1.0
UBSFF,2016-07-14 00:00:00+00:00,37.49,37.49,37.49,37.49,20,37.49,37.49,37.49,37.49,20,0.0,1.0
UBSFF,2016-07-15 00:00:00+00:00,38.0,38.0,38.0,38.0,100,38.0,38.0,38.0,38.0,100,0.0,1.0
UBSFF,2016-07-18 00:00:00+00:00,38.0,38.0,38.0,38.0,0,38.0,38.0,38.0,38.0,0,0.0,1.0
UBSFF,2016-07-19 00:00:00+00:00,38.0,38.0,38.0,38.0,0,38.0,38.0,38.0,38.0,0,0.0,1.0
UBSFF,2016-07-20 00:00:00+00:00,41.9,41.9,41.9,41.9,428,41.9,41.9,41.9,41.9,428,0.0,1.0
UBSFF,2016-07-21 00:00:00+00:00,41.15,41.15,41.15,41.15,320,41.15,41.15,41.15,41.15,320,0.0,1.0
UBSFF,2016-07-22 00:00:00+00:00,41.15,41.15,41.15,41.15,2,41.15,41.15,41.15,41.15,2,0.0,1.0
UBSFF,2016-07-25 00:00:00+00:00,41.15,41.15,41.15,41.15,0,41.15,41.15,41.15,41.15,0,0.0,1.0
UBSFF,2016-07-26 00:00:00+00:00,41.15,41.15,41.15,41.15,0,41.15,41.15,41.15,41.15,0,0.0,1.0
UBSFF,2016-07-27 00:00:00+00:00,41.15,41.15,41.15,41.15,0,41.15,41.15,41.15,41.15,0,0.0,1.0
UBSFF,2016-07-28 00:00:00+00:00,41.15,41.15,41.15,41.15,0,41.15,41.15,41.15,41.15,0,0.0,1.0
UBSFF,2016-07-29 00:00:00+00:00,41.15,41.15,41.15,41.15,81,41.15,41.15,41.15,41.15,81,0.0,1.0
UBSFF,2016-08-01 00:00:00+00:00,41.15,41.15,41.15,41.15,2,41.15,41.15,41.15,41.15,2,0.0,1.0
UBSFF,2016-08-02 00:00:00+00:00,41.0,41.0,41.0,41.0,253,41.0,41.0,41.0,41.0,253,0.0,1.0
UBSFF,2016-08-03 00:00:00+00:00,41.0,41.0,41.0,41.0,0,41.0,41.0,41.0,41.0,0,0.0,1.0
UBSFF,2016-08-04 00:00:00+00:00,41.0,41.0,41.0,41.0,0,41.0,41.0,41.0,41.0,0,0.0,1.0
UBSFF,2016-08-05 00:00:00+00:00,41.0,41.0,41.0,41.0,80,41.0,41.0,41.0,41.0,80,0.0,1.0
UBSFF,2016-08-08 00:00:00+00:00,41.0,41.0,41.0,41.0,16,41.0,41.0,41.0,41.0,16,0.0,1.0
UBSFF,2016-08-09 00:00:00+00:00,40.75,40.75,40.75,40.75,231,40.75,40.75,40.75,40.75,231,0.0,1.0
UBSFF,2016-08-10 00:00:00+00:00,40.75,40.75,40.75,40.75,0,40.75,40.75,40.75,40.75,0,0.0,1.0
UBSFF,2016-08-11 00:00:00+00:00,40.75,40.75,40.75,40.75,0,40.75,40.75,40.75,40.75,0,0.0,1.0
UBSFF,2016-08-12 00:00:00+00:00,40.75,40.75,40.75,40.75,91,40.75,40.75,40.75,40.75,91,0.0,1.0
UBSFF,2016-08-15 00:00:00+00:00,40.75,40.75,40.75,40.75,0,40.75,40.75,40.75,40.75,0,0.0,1.0
UBSFF,2016-08-16 00:00:00+00:00,40.75,40.75,40.75,40.75,0,40.75,40.75,40.75,40.75,0,0.0,1.0
UBSFF,2016-08-17 00:00:00+00:00,39.3,39.3,39.3,39.3,390,39.3,39.3,39.3,39.3,390,0.0,1.0
UBSFF,2016-08-18 00:00:00+00:00,39.3,39.3,39.3,39.3,0,39.3,39.3,39.3,39.3,0,0.0,1.0
UBSFF,2016-08-19 00:00:00+00:00,39.3,39.3,39.3,39.3,0,39.3,39.3,39.3,39.3,0,0.0,1.0
UBSFF,2016-08-22 00:00:00+00:00,39.3,39.3,39.3,39.3,0,39.3,39.3,39.3,39.3,0,0.0,1.0
UBSFF,2016-08-23 00:00:00+00:00,39.75,39.75,39.75,39.75,1358,39.75,39.75,39.75,39.75,1358,0.0,1.0
UBSFF,2016-08-24 00:00:00+00:00,39.75,39.75,39.75,39.75,0,39.75,39.75,39.75,39.75,0,0.0,1.0
UBSFF,2016-08-25 00:00:00+00:00,39.75,39.75,39.75,39.75,0,39.75,39.75,39.75,39.75,0,0.0,1.0
UBSFF,2016-08-26 00:00:00+00:00,39.75,39.75,39.75,39.75,7,39.75,39.75,39.75,39.75,7,0.0,1.0
UBSFF,2016-08-29 00:00:00+00:00,39.75,39.75,39.75,39.75,0,39.75,39.75,39.75,39.75,0,0.0,1.0
UBSFF,2016-08-30 00:00:00+00:00,39.5,39.5,39.5,39.5,149,39.5,39.5,39.5,39.5,149,0.0,1.0
UBSFF,2016-08-31 00:00:00+00:00,38.7,38.7,38.7,38.7,472,38.7,38.7,38.7,38.7,472,0.0,1.0
